code_cbna	libelle	AGEFLOW_MAX	AGEFLOW_MIN	C_Plant	CLONRATE	CNRATIO	DNA	ELLAER_INDK	ELLCONT	ELLCONT_INDK	ELLHUMUS_INDK	ELLLITE	ELLLITE_INDK	ELLMOIST	ELLMOIST_INDK	ELLMOISTVAR_INDK	ELLNIT	ELLNIT_INDK	ELLPH	ELLREAC_INDK	ELLSALT	ELLTEMP	ELLTEMP_INDK	FECUNDITY	GERMRATE	L_ANGLE	L_AREA	L_DRYM	L_FRESHM	L_THICK	LATSPR	LCCp	LD13C	LD15N	LDMC	Leaf_T_Strength	LKC	LNC	LPC	MAX_AGE	MOW_TOLERANCE_INDK	N_Plant	NBCHROM	Palatability	PL_H_flora_MIN	PL_REPR_H	PL_VEG_H	PL_VEG_H_max	ROOT_DEPTH_INDK	SEED_LONGEVITY_INDK	SEEDH	SEEDL	SEEDM	SEEDW	SLA	APOM	CATTLE	CHANGE_TENDENCY_INDK	CLONAab	CLONAbel	DEER	DIASPTYPE	DICH	DISP	DISP_INDK	DISP_VITTOZ	DOM_IN_SITU_INDK	ECOLOGICAL_GRP_INDK	ELLAER_INDK_VAR	ELLCONT_INDK_VAR	ELLHUMUS_INDK_VAR	ELLLITE_INDK_VAR	ELLMOIST_INDK_VAR	ELLNIT_INDK_VAR	ELLREAC_INDK_VAR	ELLSALT_INDK	ELLTEMP_INDK_VAR	ENDEM	FLONSET_BEG_INDK	FLONSET_END_INDK	FRUIT	GERMREQ	GRAZ	GROWTHF	IMMIG_INVASIV_INDK	INFLO_DETAIL	INFLO_SIMPLE	L_ANAT	L_FORM	L_LONG	LHIST	LIFESPAN	LPERST_INDK	MAN_INFLUENCE_INDK	MEDIC_POISON_FX_INDK	MOW	MYCORR	NATURAL	NUTR	PLOIDY	POLL_2ND_INDK	POLL_MAIN_INDK	REPROD_INDK	REPSTRAT	ROOTMET	ROSET	SEEDPROD	STORAGE_ORGANS_INDK	STRAT_INDK	TAPROOT	VEG_DISP	WOODY	CODE_CBNA
3367	Anchusa officinalis L.		2					2	5	4	2	8.5	4	3	2	1	5	3.5	7	4		7	4.5				13.96	0.06302							112.49					5			8		30	55	50	80	4		1.835	3.07	5	2.235	22.925			>		Roots with generative buds		germinule_one-seeded generative dispersule	homogamous	Unassisted dispersal	myrmecochory	3	scattered	weeds and ruderal plants	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	large variation (II)		small variation (I)		May	September	Achene				presumably indigenous in some areas of the study region and widely spread later but before 1500 AD	raceme of uniparous scorpio-like cymes	raceme	mesomorphic_scleromorphic	long-leaf	summer green	Hemicryptophyte	biennial_pluriennial	wintergreen	moderatly hemerobic (moderately urbanophilous)	edible			Indigenous	Chlorophyllian	diploid	autogamous	entomogamous	hermaphroditic and normal sexual		Primary storage root	Hemirosette plant		root swelling	crr	yes	no vegetative dispersal parts	Herbaceous	3367
3368	Anchusa ovata Lehm.											8						4																											30		50	70																Unassisted dispersal		7															Achene										Hemicryptophyte_Therophyte							Exogenous	Chlorophyllian													Herbaceous	3368
3371	Anchusa undulata L.							2		2	2	8	4		2	1		3.5		3			5																						20		45	60					2.86					=						Unassisted dispersal	myrmecochory	3	scattered	weeds and ruderal plants	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)		small variation (I)		June	September	Achene				presumably indigenous in some areas of the study region and widely spread later but after 1500 AD						Hemicryptophyte_Therophyte		wintergreen	moderatly hemerobic (moderately urbanophilous)				Exogenous	Chlorophyllian				hermaphroditic and normal sexual					root swelling	crr		no vegetative dispersal parts	Herbaceous	3371
3372	Anchusa undulata L. subsp. hybrida (Ten.) Coutinho							2		2	2		4		2	1		4		3			5																																			=							myrmecochory		scattered	weeds and ruderal plants	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)		small variation (I)		June	September					presumably indigenous in some areas of the study region and widely spread later but after 1500 AD						Hemicryptophyte		wintergreen	moderatly hemerobic (moderately urbanophilous)									hermaphroditic and normal sexual					root swelling	crr		no vegetative dispersal parts		3372
3374	Asperugo procumbens L.							2	6	4	2	6.5	4	4	2.5	1	9	5	8	4		6	2.5				5.24	0.00707							81.19					1			12		10	35	30	45			0.765	3.33	10.2905	1.94	70.3			>				germinule_multi-seeded generative dispersule_one-seeded generative dispersule	homogamous	Exozoochory	epichory	6	in larger groups	weeds and ruderal plants	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)		small variation (I)		May	August	Achene				archaeophytes	glomerule	solitary	mesomorphic	simple	summer green	Therophyte	annual	decidous_wintergreen	indifferent (urbanoneutral)				Indigenous	Chlorophyllian	tetraploid		autogamous	hermaphroditic and normal sexual			Hemirosette plant		no special organ to store energy	crs		creeping shoots or espaliers	Herbaceous	3374
3376	Borago officinalis L.						2.6	2		3	2	7	4		3	1		3.5		3			4.5				38.48	0.154525							140.98					2			8		20	37.5	35.5	60			2.75	5	16.165	2.75	25.125			=				germinule	protandrous	Unassisted dispersal	myrmecochory	3	scattered	weeds and ruderal plants	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)		small variation (I)		May	August	Achene				neophytes	raceme of uniparous scorpio-like cymes	raceme	mesomorphic	simple	summer green	Hemicryptophyte_Therophyte	annual	decidous	strictly hemerobic (strictly urbanophilous)	edible			Indigenous	Chlorophyllian	diploid		autogamous_entomogamous_ornithophilous	hermaphroditic and normal sexual			Hemirosette plant		no special organ to store energy	crr		no vegetative dispersal parts	Herbaceous	3376
3392	Cerinthe glabra Miller subsp. glabra							2		2	2	7	3		3.5	1		4		4			2				27.525	0.132605	0.60885			405.640487670898			218.694989705763			28.5571908950806		2			8.5		30	30	32	60			2.95	3.28	6.29	3.4	21.0704191510752			>					homogamous	Unassisted dispersal	meteorochory		scattered or in small groups	mountain plants	small variation (I)	small variation (I)	small variation (I)	large variation (II)	small variation (I)	small variation (I)	small variation (I)		small variation (I)		June	August	Achene				idiochorophytes or indigenes	raceme of uniparous scorpio-like cymes	raceme	mesomorphic	long-leaf	persistent green	Geophyte_Hemicryptophyte	pluriennial	partly wintergreen	close to nature (strictly urbanophobous)				Indigenous	Chlorophyllian	diploid		entomogamous	hermaphroditic and normal sexual			Hemirosette plant		thick rhizome	ccs		basal lateral shoots	Herbaceous	3392
3397	Cerinthe major L.							2		1	2		4		1	1		4		3			5																	2																		=							meteorochory		scattered or in small groups	weeds and ruderal plants	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)		small variation (I)		June	July					idiochorophytes or indigenes	raceme of uniparous scorpio-like cymes	raceme				Hemicryptophyte_Therophyte		partly wintergreen	strictly hemerobic (strictly urbanophilous)								entomogamous	hermaphroditic and normal sexual					root swelling	rrs		no vegetative dispersal parts		3397
3401	Cerinthe minor L. subsp. auriculata (Ten.) Rouy							2	5	3.5	2	8	4	4	2.25	1	4	4	8	4		6	3.5									407.23			240.03			28.13	2.75	9					30	31.65	30.3	60	1.5									=						Unassisted dispersal	meteorochory	7	scattered	mountain plants	small variation (I)	small variation (I)	small variation (I)	large variation (II)	small variation (I)	small variation (I)	large variation (II)		small variation (I)		May	August_July	Achene				idiochorophytes or indigenes_presumably indigenous in some areas of the study region and widely spread later but before 1500 AD	raceme of uniparous scorpio-like cymes	raceme				Geophyte_Hemicryptophyte_Therophyte		partly wintergreen	indifferent (urbanoneutral)_moderatly hemerobic (moderately urbanophilous)				Indigenous	Chlorophyllian				hermaphroditic and normal sexual					root swelling	rrs		no vegetative dispersal parts	Herbaceous	3401
3406	Cynoglossum creticum Miller							2		2	2	8	4		1	1		4		4			5																						30		50	70					22.335					=						Exozoochory	epichory	6	scattered		small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)		small variation (I)		April	June	Achene				idiochorophytes or indigenes	raceme of uniparous scorpio-like cymes	raceme				Hemicryptophyte		decidous	strictly hemerobic (strictly urbanophilous)	edible_poisonous for individual animal species			Indigenous	Chlorophyllian				hermaphroditic and normal sexual					root swelling	crr		no vegetative dispersal parts	Herbaceous	3406
3407	Cynoglossum dioscoridis Vill.							3		3	2	8	4		2	1		3.5		4			2.5																						20		30	50										>						Exozoochory	epichory	6	scattered		small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	large variation (II)	large variation (II)		large variation (II)		May	August	Achene				idiochorophytes or indigenes	raceme of uniparous scorpio-like cymes	raceme				Hemicryptophyte		decidous	indifferent (urbanoneutral)	edible_poisonous for individual animal species			Indigenous	Chlorophyllian				hermaphroditic and normal sexual					root swelling	crr		no vegetative dispersal parts	Herbaceous	3407
3408	Cynoglossum germanicum Jacq.							2	4	4	2	6	3	5	3	1	7.5	4	8	4	0	6	3.5																				12		25	65	47.5	60				7.5	19.8884					>						Exozoochory	epichory	6	scattered		small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)		small variation (I)		June	July	Achene				presumably indigenous in some areas of the study region and widely spread later but after 1500 AD	raceme of uniparous scorpio-like cymes	raceme	helomorphic	long-leaf		Hemicryptophyte	biennial	decidous	indifferent (urbanoneutral)	edible_poisonous for individual animal species			Indigenous	Chlorophyllian	diploid			hermaphroditic and normal sexual		Primary storage root	Hemirosette plant		root swelling	ccr		no vegetative dispersal parts	Herbaceous	3408
3410	Cynoglossum germanicum Jacq. subsp. pellucidum (Lapeyr.) Sutory							2		3	2		3		3	1		4		4			3.5																																										epichory		scattered		small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)		small variation (I)		June	July					idiochorophytes or indigenes						Hemicryptophyte		decidous	indifferent (urbanoneutral)	edible_poisonous for individual animal species								hermaphroditic and normal sexual					root swelling	ccr		no vegetative dispersal parts		3410
3414	Cynoglossum officinale L.		2					3	5	4	2	8	3	4	1.5	1	6.5	4	7.5	4	1	6	4				13.19	0.05333							140.78					2			12		40	55	60	90	2	2	2.42	6.78	28.2226	5.6	22.89			>				germinule	homogamous_protogynous	Exozoochory	epichory	7	scattered	weeds and ruderal plants	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	salt tolerant	small variation (I)		May	July	Achene				presumably indigenous in some areas of the study region and widely spread later but before 1500 AD	raceme of uniparous scorpio-like cymes	raceme	mesomorphic_scleromorphic	long-leaf	summer green	Hemicryptophyte_Therophyte	biennial_pluriennial	decidous	indifferent (urbanoneutral)	medicinal_poisonous for individual animal species			Indigenous	Chlorophyllian	diploid		autogamous_entomogamous	hermaphroditic and normal sexual	Monocarpic	Primary storage root	Hemirosette plant		root swelling	ccr	no	no vegetative dispersal parts	Herbaceous	3414
3417	Cynoglossum pustulatum Boiss.											8						3																																														Exozoochory		6															Achene					raceme of uniparous scorpio-like cymes	raceme				Hemicryptophyte							Indigenous	Chlorophyllian													Herbaceous	3417
3423	Echium asperrimum Lam.											9						3																											25		30	45																Unassisted dispersal		4															Achene					raceme of uniparous scorpio-like cymes	raceme				Hemicryptophyte							Indigenous	Chlorophyllian													Herbaceous	3423
3430	Echium italicum L.							2		3	2		4		1	1		3		4			5																																			=							dysochory_meteorochory		scattered or in small groups		small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)		small variation (I)		April	August					archaeophytes						Therophyte		wintergreen	strictly hemerobic (strictly urbanophilous)	poisonous for individual animal species							entomogamous	hermaphroditic and normal sexual					root swelling	crr		basal lateral shoots		3430
3443	Echium plantagineum L.							2		3	2		5		1.5	1		3		3			5																																			=							dysochory_meteorochory		scattered or in small groups		small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)		large variation (II)		May	September					idiochorophytes or indigenes						Therophyte		decidous_wintergreen	indifferent (urbanoneutral)	poisonous for individual animal species								hermaphroditic and normal sexual					root swelling	crr		no vegetative dispersal parts		3443
3446	Echium vulgare L.							2	3	4	2	9	5	4	2	1	4	3	8	3	1	6	4				45.23	0.2825035784							142					2	2		8		25	61.25	55	90	4	2	1.575	2.7	2.8	1.75	14.45		no or little forage value	=				germinule_one-seeded generative dispersule	protandrous	Unassisted dispersal	dysochory_meteorochory	6	scattered or in small groups	unfertilized dry meadows	small variation (I)	small variation (I)	large variation (II)	small variation (I)	small variation (I)	large variation (II)	large variation (II)	salt tolerant	large variation (II)		May	October	Achene		sensitive		presumably indigenous in some areas of the study region and widely spread later but before 1500 AD	raceme of uniparous scorpio-like cymes	raceme	scleromorphic	long-leaf	persistent green	Hemicryptophyte_Therophyte	biennial_pluriennial	wintergreen	indifferent (urbanoneutral)	edible_poisonous for individual animal species	intolerant to sensitive	Arbuscular AM	Indigenous	Chlorophyllian	tetraploid	entomogamous_ornithophilous	entomogamous	hermaphroditic and normal sexual	Monocarpic	Primary storage root	Hemirosette plant		root swelling	crr		no vegetative dispersal parts	Herbaceous	3446
3453	Heliotropium europaeum L.							2	5	4	2	7.5	4	4	2	1	6	3.5	8	4		8	4.5																				10		5	22.5	20	40			1.15	2.15	1.13	1.25				>				germinule_one-seeded generative dispersule	homogamous	Unassisted dispersal	epichory	7	scattered	weeds and ruderal plants	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	salt tolerant	small variation (I)		July	September	Achene				archaeophytes	raceme of uniparous scorpio-like cymes	raceme	mesomorphic	simple	summer green	Therophyte	annual	decidous	strictly hemerobic (strictly urbanophilous)	medicinal_weakly to moderately poisonous			Indigenous	Chlorophyllian	tetraploid		entomogamous	hermaphroditic and normal sexual			Hemirosette plant		no special organ to store energy	crr		no vegetative dispersal parts	Herbaceous	3453
3457	Lappula deflexa (Lehm.) Cesati							2	7	4	2	6.5	4	4	2	1	8	4.5		3			2.5				20.91	0.087445							149.2								12		30	56.5	50	70							23.38			>						Exozoochory	epichory	6	scattered	weeds and ruderal plants	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	large variation (II)		small variation (I)		June	August	Achene					raceme of uniparous scorpio-like cymes	raceme	mesomorphic	simple	overwintering green	Hemicryptophyte_Therophyte	annual_biennial	wintergreen	indifferent (urbanoneutral)				Indigenous	Chlorophyllian	diploid		autogamous_entomogamous	hermaphroditic and normal sexual			Hemirosette plant		no special organ to store energy	crr		no vegetative dispersal parts	Herbaceous	3457
3460	Lappula squarrosa (Retz.) Dumort.							2	6	4	2	8	4	3	2	1	6	4	7	4		6	3.5				6.31	0.020645							129.71					2			12		15	33	40	60	2.5				1.3		30.88			>					homogamous	Exozoochory	epichory	6	scattered	weeds and ruderal plants	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	large variation (II)		large variation (II)		June	September	Achene				archaeophytes	raceme of uniparous scorpio-like cymes	raceme	mesomorphic_scleromorphic	long-leaf	overwintering green	Hemicryptophyte_Therophyte	annual	wintergreen	moderatly hemerobic (moderately urbanophilous)				Indigenous	Chlorophyllian	tetraploid		autogamous_entomogamous	hermaphroditic and normal sexual			Hemirosette plant		no special organ to store energy	crr		basal lateral shoots	Herbaceous	3460
3462	Lithodora fruticosa (L.) Griseb.							1		3	1	9	5		1.5	2		1.5		5			4.5																						15		25	30										=						Unassisted dispersal	endochory	1	scattered or in small groups		large variation (II)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)		small variation (I)		April	June	Achene				idiochorophytes or indigenes	raceme of uniparous scorpio-like cymes	raceme				Chamaephyte		wintergreen	moderately close to nature (moderately urbanophobous)				Indigenous	Chlorophyllian				hermaphroditic and normal sexual					thick lignified main roots	ccs		basal lateral shoots	Frutescent	3462
3466	Lithospermum arvense L.							2		4	2	7.5	4	4	2.5	2	5	3	7	4	0		3.5				2.08	0.00754							175.35					1					12	30	30	50	2.5	3	1.6	3.18	5.472	1.96	27.16			>				one-seeded generative dispersule		Unassisted dispersal	anthropochory_dysochory	7	scattered	weeds and ruderal plants	small variation (I)	small variation (I)	small variation (I)	small variation (I)	large variation (II)	small variation (I)	large variation (II)		large variation (II)		April	July	Achene				presumably indigenous in some areas of the study region and widely spread later but before 1500 AD	raceme of uniparous scorpio-like cymes	raceme				Therophyte		decidous_wintergreen	moderatly hemerobic (moderately urbanophilous)				Indigenous	Chlorophyllian				hermaphroditic and normal sexual					root swelling	crr		no vegetative dispersal parts	Herbaceous	3466
3475	Lithospermum officinale L.							1	5	3	2	6	3	5	3.5	2	5	3	8	4	0	6	4				9.575	0.04265150774							213.5					1	1		7		35	65	60	90			1.98	3.035	11.98	2	21.85		no or little forage value	>				germinule	protogynous	Unassisted dispersal	endochory_hydrochory	2	scattered	forest plants	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)		small variation (I)		May	July	Achene		sensitive		idiochorophytes or indigenes	raceme of uniparous scorpio-like cymes	raceme	mesomorphic_scleromorphic	long-leaf	summer green	Hemicryptophyte	pluriennial	decidous	moderately close to nature (moderately urbanophobous)	edible_medicinal	intolerant to sensitive		Indigenous	Chlorophyllian	octoploid_tetraploid		entomogamous	hermaphroditic and normal sexual	Polycarpic		Erosulate plant		thick rhizome	ccs		basal lateral shoots	Herbaceous	3475
3477	Lithospermum permixtum Jordan in F.W. Schultz							1.5		3.5	1.5	8	4.5		1.75	2		3		4.5			3.75																						12		25	40										=->						Unassisted dispersal	dysochory_endochory	1	scattered_scattered or in small groups		large variation (II)	small variation (I)	small variation (I)	small variation (I)	large variation (II)	small variation (I)	small variation (I)		small variation (I)		April	July_June	Achene				idiochorophytes or indigenes	raceme of uniparous scorpio-like cymes	raceme				Chamaephyte_Therophyte		decidous_wintergreen	moderately close to nature (moderately urbanophobous)				Indigenous	Chlorophyllian				hermaphroditic and normal sexual					root swelling_thick lignified main roots	ccs_crr		basal lateral shoots_no vegetative dispersal parts	Herbaceous	3477
3479	Lithospermum purpureocaeruleum L.							2		4	2	5	3	4	2	1	4	2	7	4	0		4.5																	11					30		40	50										=						Unassisted dispersal	dysochory	2	in larger groups	forest plants	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)		small variation (I)		April	June	Achene				idiochorophytes or indigenes	raceme of uniparous scorpio-like cymes	raceme				Chamaephyte_Geophyte_Hemicryptophyte		decidous	moderately close to nature (moderately urbanophobous)	medicinal			Indigenous	Chlorophyllian			entomogamous	hermaphroditic and normal sexual					thick lignified main roots	ccs		creeping shoots or espaliers	Herbaceous	3479
3490	Myosotis alpestris F.W. Schmidt	5	1					2	4	3	2	8	4	5	3	1	4	2	8.5	3.5	0	2	1.5		9	80	6.9075	0.01468	0.09891	0.16	5	439.197692871094	-28.76	-2.12	177.363379422875			31.8981766700745		6	2		11		5.5	11.25	8	18.5				1.8	0.46	1.3	41.0845986984816			=					homogamous	Unassisted dispersal	boleochory	6	scattered or in small groups	mountain plants	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)		small variation (I)		June	August	Achene			forbs	idiochorophytes or indigenes	biscorpioid cyme	cyme	mesomorphic	simple	persistent green	Hemicryptophyte	pluriennial	wintergreen	close to nature (strictly urbanophobous)_moderately close to nature (moderately urbanophobous)				Indigenous	Chlorophyllian	diploid_hexaploid	entomogamous	autogamous_entomogamous	hermaphroditic and normal sexual	Polycarpic		Hemirosette plant		inconspicuous reserve organ	crs		above-ground shoots_basal lateral shoots	Herbaceous	3490
3495	Myosotis arvensis Hill		1					2	5	4	2	6.5	4	5	2	1	6	3	6	3	0	6	3.5				7.595	0.02822270336					-28.05	0.09	138.851351					2	3		12		15	25	26	40	1.5	4	0.48	1.435	0.3005	0.89	28.146958635		little forage value	=	Transportable diaspores		no or little forage value	germinule_one-seeded generative dispersule	homogamous	Unassisted dispersal	endochory_epichory	7	scattered	weeds and ruderal plants	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	large variation (II)		large variation (II)		April	October	Achene	Dry storage	intolerant to sensitive		idiochorophytes or indigenes	biscorpioid cyme	cyme	mesomorphic	simple	overwintering green	Hemicryptophyte_Therophyte	annual_biennial	decidous_green only from autumn to springtime_wintergreen	moderatly hemerobic (moderately urbanophilous)	medicinal	sensitive		Indigenous	Chlorophyllian	tetraploid	entomogamous	autogamous_entomogamous	unisexual and dioecious	Monocarpic		Erosulate plant_Hemirosette plant		no special organ to store energy	crr	no	no vegetative dispersal parts	Herbaceous	3495
3508	Myosotis decumbens Host				1			1	2	3	3	6.5	3	6	4	3	7	3.5	5	3		3	2																		3		8		20	30	34	60	2			2						=	Rooting stems				homogamous	Unassisted dispersal	endochory	6	in larger groups	wetland plants	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)		small variation (I)		June	August	Achene				idiochorophytes or indigenes	biscorpioid cyme	cyme		long-leaf	persistent green	Hemicryptophyte	pluriennial	wintergreen	moderately close to nature (moderately urbanophobous)				Indigenous	Chlorophyllian	tetraploid			hermaphroditic and normal sexual			Hemirosette plant		inconspicuous reserve organ	crs	no	above-ground shoots	Herbaceous	3508
3512	Myosotis discolor Pers.							2	2	2	2	7.5	4	4	2	1	2	2	4	4	0	7	4.5				0.705	0.002840682415							165.285						2		12		10	17.5	17	25				1.1	0.1935	0.8	21.6			>					homogamous	Unassisted dispersal	boleochory	6	scattered or in small groups	weeds and ruderal plants	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)		small variation (I)		April	June	Achene	Dry storage			idiochorophytes or indigenes	biscorpioid cyme	cyme	mesomorphic_scleromorphic	long-leaf	overwintering green	Therophyte	annual	wintergreen	moderatly hemerobic (moderately urbanophilous)			Arbuscular AM	Indigenous	Chlorophyllian	hexaploid	entomogamous	autogamous_entomogamous	hermaphroditic and normal sexual	Monocarpic		Hemirosette plant		no special organ to store energy	rrs		no vegetative dispersal parts	Herbaceous	3512
3525	Myosotis laxa Lehm. subsp. cespitosa (C.F. Schultz) Hyl. ex Nordh.							1	3	3	2	7	4	9	4.5	3	6	3	5	2	0	6	4.5				2.875	0.005205							114.44					1	2		11		20	30	23	60				1.53	0.192	1.3	38.2		little forage value				no or little forage value	one-seeded generative dispersule	homogamous	Unassisted dispersal	boleochory	2	in larger groups	wetland plants	small variation (I)	small variation (I)	large variation (II)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	salt tolerant	small variation (I)		May	July	Achene		sensitive		idiochorophytes or indigenes	biscorpioid cyme	cyme	helomorphic_hygromorphic	long-leaf	persistent green	Helophyte_Hemicryptophyte_Therophyte	biennial	wintergreen	moderately close to nature (moderately urbanophobous)		sensitive		Indigenous	Chlorophyllian	octoploid		autogamous				Hemirosette plant		no special organ to store energy	crs		no vegetative dispersal parts	Herbaceous	3525
3529	Myosotis minutiflora Boiss. & Reut.							2		3	1	4	3		2	1		3		5			2.5																		2				3		10	15										=						Unassisted dispersal	boleochory	6	scattered or in small groups		small variation (I)	small variation (I)	small variation (I)	large variation (II)	small variation (I)	small variation (I)	small variation (I)		small variation (I)		May	July	Achene				idiochorophytes or indigenes	biscorpioid cyme	cyme				Therophyte		wintergreen	moderately close to nature (moderately urbanophobous)				Indigenous	Chlorophyllian				hermaphroditic and normal sexual					no special organ to store energy	rrs		no vegetative dispersal parts	Herbaceous	3529
3530	Myosotis nemorosa Besser		2					1	4	3	2	7	3	6.5	4	2	5	4	6.5	3		5	3.5																		3		11			25	42		1						38.61		little forage value	>		Roots with generative buds_Stem-derived rhizomes			homogamous		boleochory_endochory		in larger groups	wetland plants	small variation (I)	small variation (I)	large variation (II)	small variation (I)	small variation (I)	small variation (I)	small variation (I)		small variation (I)		May	August			sensitive to moderately tolerant		idiochorophytes or indigenes	biscorpioid cyme	cyme	helomorphic_hygromorphic	long-leaf	persistent green	Hemicryptophyte	pluriennial	wintergreen	moderately close to nature (moderately urbanophobous)		moderately tolerant				diploid			polysexual and dioecious			Erosulate plant_Hemirosette plant		inconspicuous reserve organ	crs	no_yes	below-ground runners		3530
3543	Myosotis ramosissima Rochel subsp. ramosissima							2	5	4	2	8	4	2.5	1	1	2	2	6.5	4	0	6	3.5				2.4	0.004933333333							171						2		12		5	12.5	11.5	20		4		2.585	0.21	0.73	19.2			>					homogamous	Unassisted dispersal	boleochory	4	scattered or in small groups	weeds and ruderal plants	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)		small variation (I)		April	June	Achene	Dry storage			idiochorophytes or indigenes	biscorpioid cyme	cyme	mesomorphic_scleromorphic	simple	overwintering green	Therophyte	annual	wintergreen	indifferent (urbanoneutral)			Arbuscular AM	Indigenous	Chlorophyllian	tetraploid	entomogamous	entomogamous	hermaphroditic and normal sexual	Monocarpic		Hemirosette plant		no special organ to store energy	rrs		no vegetative dispersal parts	Herbaceous	3543
3546	Myosotis scorpioides L.						2.8	1	5	2	3	7	3	8.5	4	3	5.5	3.5	6	3	0		3				9.61	0.013423096912							147						3		21.5		20	30	32	55	1				0.32		40		little forage value				no or little forage value		homogamous	Unassisted dispersal	boleochory	6	in larger groups	wetland plants	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	large variation (II)		small variation (I)		May	July	Achene	Dry storage	sensitive to moderately tolerant		idiochorophytes or indigenes	biscorpioid cyme	cyme	helomorphic_hygromorphic	long-leaf	persistent green	Helophyte_Hemicryptophyte	pluriennial	wintergreen	moderately close to nature (moderately urbanophobous)		moderately tolerant	Arbuscular AM	Indigenous	Chlorophyllian	hexaploid		entomogamous	polysexual and dioecious	Polycarpic		Hemirosette plant		inconspicuous reserve organ	crs		above-ground runners	Herbaceous	3546
3552	Myosotis secunda A. Murray							1		2	2		3		4.5	3		2		3			3																																			=							boleochory		scattered or in small groups		small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)		small variation (I)		April	June					idiochorophytes or indigenes						Therophyte		decidous_wintergreen	moderately close to nature (moderately urbanophobous)									hermaphroditic and normal sexual					no special organ to store energy	rrs		no vegetative dispersal parts		3552
3555	Myosotis speluncicola (Boiss.) Rouy							3		2	1	4	2		2	2		3.5		4			3.5																		2				3		7	12										=						Unassisted dispersal	boleochory		scattered or in small groups		small variation (I)	small variation (I)	small variation (I)	large variation (II)	small variation (I)	small variation (I)	small variation (I)		small variation (I)		April	July	Achene				idiochorophytes or indigenes	biscorpioid cyme	cyme				Therophyte		wintergreen	close to nature (strictly urbanophobous)				Indigenous	Chlorophyllian				hermaphroditic and normal sexual					no special organ to store energy	rrs		no vegetative dispersal parts	Herbaceous	3555
3558	Myosotis stricta Link ex Roemer & Schultes							3	5	4	1	8	4	3	1	1	2	1.5	6	2		6	4				0.4	0.00133							177.2					1	2		12		4	11.5	10	15	1	4	0.43	1.22	0.113	0.7	26.98			>					homogamous	Unassisted dispersal	boleochory	6	scattered or in small groups	unfertilized dry meadows	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	large variation (II)		large variation (II)		March	May	Achene				idiochorophytes or indigenes	biscorpioid cyme	cyme	mesomorphic_scleromorphic	simple	overwintering green	Hemicryptophyte_Therophyte	annual	wintergreen	indifferent (urbanoneutral)				Indigenous	Chlorophyllian	tetraploid			hermaphroditic and normal sexual	Monocarpic		Hemirosette plant		no special organ to store energy	rrs		no vegetative dispersal parts	Herbaceous	3558
